id,instrumentName,localDate,localTime,co,o3,no2,so2,no,voc,pm2p5,pm10,rh,pressure,sensorTemp,heaterTemp,internalTemp,timeRec,dateUTC,timeUTC,alarms
106397,thermo-grid-883f4a344cbe,2024/08/06,00:00,0.18,0.0,43.57,32.66,0.0,0.0,17.23,150.37,58.94,91.97,22.26,34.97,25.25,1722891605,2024/08/05,21:00,0x00000000
106398,thermo-grid-883f4a344cbe,2024/08/06,00:05,0.28,0.0,43.95,31.19,0.0,0.0,15.62,122.37,58.87,91.96,22.22,34.98,25.21,1722891905,2024/08/05,21:05,0x00000000
106399,thermo-grid-883f4a344cbe,2024/08/06,00:10,0.12,0.0,44.19,27.54,0.0,0.0,18.41,161.01,58.85,91.96,22.17,34.98,25.16,1722892205,2024/08/05,21:10,0x00000000
106400,thermo-grid-883f4a344cbe,2024/08/06,00:15,0.1,0.0,44.64,28.06,0.0,0.0,18.45,140.26,58.88,91.96,22.14,34.98,25.13,1722892505,2024/08/05,21:15,0x00000000
106401,thermo-grid-883f4a344cbe,2024/08/06,00:20,0.06,0.0,44.6,29.23,0.0,0.0,19.29,146.22,58.93,91.96,22.12,34.98,25.1,1722892805,2024/08/05,21:20,0x00000000
106402,thermo-grid-883f4a344cbe,2024/08/06,00:25,0.06,0.0,44.96,30.06,0.0,0.0,21.63,167.84,58.86,91.96,22.1,34.99,25.08,1722893105,2024/08/05,21:25,0x00000000
106403,thermo-grid-883f4a344cbe,2024/08/06,00:30,0.14,0.0,44.96,32.69,0.0,0.0,29.48,235.14,59.04,91.96,22.08,34.99,25.06,1722893405,2024/08/05,21:30,0x00000000
106404,thermo-grid-883f4a344cbe,2024/08/06,00:35,0.11,0.0,44.71,34.05,0.0,0.0,29.48,273.86,59.06,91.97,22.07,34.99,25.05,1722893705,2024/08/05,21:35,0x00000000
106405,thermo-grid-883f4a344cbe,2024/08/06,00:40,0.08,0.0,44.21,30.32,0.0,0.0,23.52,202.27,58.99,91.97,22.07,34.99,25.03,1722894005,2024/08/05,21:40,0x00000000
106406,thermo-grid-883f4a344cbe,2024/08/06,00:45,0.06,0.0,44.76,28.02,0.0,0.0,20.87,171.63,58.93,91.97,22.07,35.0,25.02,1722894305,2024/08/05,21:45,0x00000000
106407,thermo-grid-883f4a344cbe,2024/08/06,00:50,0.07,0.0,44.45,29.27,0.0,0.0,26.26,215.0,59.0,91.97,22.06,35.0,25.01,1722894605,2024/08/05,21:50,0x00000000
106408,thermo-grid-883f4a344cbe,2024/08/06,00:55,0.05,0.0,44.3,28.61,0.0,0.0,24.83,208.93,59.05,91.97,22.05,34.99,25.0,1722894905,2024/08/05,21:55,0x00000000
106409,thermo-grid-883f4a344cbe,2024/08/06,01:00,0.03,0.0,42.67,26.6,0.0,0.0,26.81,241.92,58.83,91.97,22.02,34.99,24.97,1722895205,2024/08/05,22:00,0x00000000
106410,thermo-grid-883f4a344cbe,2024/08/06,01:05,0.02,0.0,42.11,25.59,0.0,0.0,24.06,223.07,58.71,91.97,22.0,34.99,24.95,1722895505,2024/08/05,22:05,0x00000000
106411,thermo-grid-883f4a344cbe,2024/08/06,01:10,0.01,0.0,42.95,26.56,0.0,0.0,15.48,114.53,58.7,91.96,21.96,34.99,24.92,1722895805,2024/08/05,22:10,0x00000000
106412,thermo-grid-883f4a344cbe,2024/08/06,01:15,0.0,0.0,42.89,25.61,0.0,0.0,18.26,133.89,58.72,91.96,21.94,34.98,24.88,1722896105,2024/08/05,22:15,0x00000000
106413,thermo-grid-883f4a344cbe,2024/08/06,01:20,0.06,0.0,43.32,32.12,0.0,0.0,20.65,139.66,58.73,91.96,21.9,34.98,24.85,1722896405,2024/08/05,22:20,0x00000000
106414,thermo-grid-883f4a344cbe,2024/08/06,01:25,0.0,0.0,43.4,25.53,0.0,0.0,22.39,182.85,58.79,91.95,21.86,34.98,24.81,1722896705,2024/08/05,22:25,0x00000000
106415,thermo-grid-883f4a344cbe,2024/08/06,01:30,0.06,0.0,42.39,35.0,0.0,0.0,26.26,251.77,58.82,91.94,21.83,34.98,24.78,1722897005,2024/08/05,22:30,0x00000000
106416,thermo-grid-883f4a344cbe,2024/08/06,01:35,0.04,0.0,43.06,28.55,0.0,0.0,25.37,270.98,58.86,91.94,21.81,34.98,24.75,1722897305,2024/08/05,22:35,0x00000000
106417,thermo-grid-883f4a344cbe,2024/08/06,01:40,0.04,0.0,42.31,28.15,0.0,0.0,21.73,204.99,58.73,91.94,21.79,34.99,24.72,1722897605,2024/08/05,22:40,0x00000000
106418,thermo-grid-883f4a344cbe,2024/08/06,01:45,0.01,0.0,43.37,26.12,0.0,0.0,18.15,149.4,58.84,91.93,21.77,34.99,24.7,1722897905,2024/08/05,22:45,0x00000000
106419,thermo-grid-883f4a344cbe,2024/08/06,01:50,0.0,0.0,43.1,23.39,0.0,0.0,16.4,107.28,58.88,91.93,21.73,34.99,24.67,1722898205,2024/08/05,22:50,0x00000000
106420,thermo-grid-883f4a344cbe,2024/08/06,01:55,0.0,0.0,44.55,25.94,0.0,0.0,17.4,111.23,58.95,91.93,21.7,34.99,24.64,1722898505,2024/08/05,22:55,0x00000000
106421,thermo-grid-883f4a344cbe,2024/08/06,02:00,0.0,0.0,43.56,25.75,0.0,0.0,15.98,105.94,58.95,91.92,21.67,34.98,24.61,1722898805,2024/08/05,23:00,0x00000000
106422,thermo-grid-883f4a344cbe,2024/08/06,02:05,0.05,0.0,42.41,27.99,0.0,0.0,19.68,142.04,58.8,91.92,21.65,34.98,24.58,1722899105,2024/08/05,23:05,0x00000000
106423,thermo-grid-883f4a344cbe,2024/08/06,02:10,0.02,0.0,42.27,25.74,0.0,0.0,21.16,188.4,58.76,91.92,21.63,34.98,24.56,1722899405,2024/08/05,23:10,0x00000000
106424,thermo-grid-883f4a344cbe,2024/08/06,02:15,0.01,0.0,43.88,26.41,0.0,0.0,22.04,173.2,58.94,91.92,21.61,34.99,24.53,1722899705,2024/08/05,23:15,0x00000000
106425,thermo-grid-883f4a344cbe,2024/08/06,02:20,0.01,0.0,43.06,25.39,0.0,0.0,23.48,175.27,58.91,91.91,21.58,34.99,24.51,1722900005,2024/08/05,23:20,0x00000000
106426,thermo-grid-883f4a344cbe,2024/08/06,02:25,0.04,0.0,42.6,27.74,0.0,0.0,22.43,168.37,58.89,91.91,21.56,34.99,24.48,1722900305,2024/08/05,23:25,0x00000000
